date,CPI_YOY,GDP,M0,M1,M2,PMI,SHIBOR_1M,SHIBOR_1W,SHIBOR_ON
2003-07-01,0.52,,17362.4,76153.04,204381.1,,,,
2003-08-01,0.91,,17607.08,77033.3,208692.4,,,,
2003-09-01,1.11,93329.3,18306.62,79164.14,211611.5,,,,
2003-10-01,1.81,,18250.94,80267.37,212505.4,,,,
2003-11-01,2.95,,18439.85,80815.22,214358.84,,,,
2003-12-01,3.19,135822.8,19746.23,84118.81,219226.81,,,,
2004-01-01,3.17,,22287.43,83805.9,225101.93,,,,
2004-02-01,2.09,,19893.44,83556.43,227050.72,,,,
2004-03-01,3.04,33420.6,19297.43,85815.57,231654.6,,,,
2004-04-01,3.8,,19878.4,85603.64,233627.86,,,,
2004-05-01,4.37,,19048.43,86780.37,234842.4,,,,
2004-06-01,4.97,70405.9,19017.58,88627.14,238427.49,,,,
2004-07-01,5.27,,19048.43,86780.37,234842.4,,,,
2004-08-01,5.25,,19517.94,89125.33,239729.19,,,,
2004-09-01,5.19,109967.6,20524.0,90439.0,243757.0,,,,
2004-10-01,4.27,,20078.0,90782.0,243740.0,,,,
2004-11-01,2.85,,20209.25,92387.13,247135.58,,,,
2004-12-01,2.42,159878.3,21468.3,95970.82,253207.7,,,,
2005-01-01,1.91,,24015.41,97079.03,257708.47,,,,
2005-02-01,3.95,,22667.97,92814.95,259357.29,,,,
2005-03-01,2.69,39117.4,21238.95,94743.19,264588.94,,,,
2005-04-01,1.83,,21666.56,94593.72,266992.66,,,,
2005-05-01,1.76,,20811.59,95802.01,269240.49,,,,
2005-06-01,1.6,81912.6,20848.76,98601.25,275785.53,,,,
2005-07-01,1.8,,21171.2,97674.1,276966.28,,,,
2005-08-01,1.26,,21351.56,99377.7,281288.22,,,,
2005-09-01,0.88,126657.0,22272.92,100964.0,287438.27,,,,
2005-10-01,1.22,,21982.98,101751.98,287591.61,,,,
2005-11-01,1.31,,22409.39,104125.78,292350.39,,,,
2005-12-01,1.56,184937.4,24031.67,107278.57,298755.48,,,,
2006-01-01,1.89,,29310.37,107250.68,303571.65,,,,
2006-02-01,0.86,,24482.02,104357.08,304516.27,,,,
2006-03-01,0.8,45315.8,23472.03,106737.08,310490.65,,,,
2006-04-01,1.21,,24155.73,106389.11,313702.34,,,,
2006-05-01,1.38,,23465.32,109219.22,316709.81,,,,
2006-06-01,1.51,95428.5,23469.08,112342.36,322756.35,,,,
2006-07-01,1.03,,23752.59,112653.04,324010.76,,,,
2006-08-01,1.32,,24185.36,114845.67,327885.67,,,,
2006-09-01,1.51,147341.3,25687.38,116814.1,331865.36,,,,
2006-10-01,1.41,,24964.16,118359.96,332747.17,,,,
2006-11-01,1.88,,25527.25,121644.95,337504.15,,,,
2006-12-01,2.81,216314.4,27072.62,126028.05,345577.91,,,,
2007-01-01,2.17,,27949.13,128484.06,351498.77,,,,
2007-02-01,2.71,,30627.93,126258.08,358659.25,,,,
2007-03-01,3.28,54755.9,27387.95,127881.31,364104.66,,,,
2007-04-01,3.03,,27813.88,127678.33,367326.45,,,,
2007-05-01,3.39,,26727.97,130275.8,369718.15,,,,
2007-06-01,4.36,115998.9,26881.09,135847.4,377832.15,,,,
2007-07-01,5.62,,27326.26,136237.43,383884.88,,,,
2007-08-01,6.52,,27822.39,140993.21,387205.04,,,,
2007-09-01,6.24,180101.1,29030.58,142591.57,393098.91,,,,
2007-10-01,6.5,,28317.78,144649.33,394204.17,,,,
2007-11-01,6.94,,28987.92,148009.82,399757.91,,,,
2007-12-01,6.51,265810.3,30334.32,152519.17,403401.3,,,,
2008-01-01,7.1,,36673.15,154872.59,417846.17,,,,
2008-02-01,8.7,,32454.47,150177.88,421037.84,,,,
2008-03-01,8.3,66283.8,30433.07,150867.47,423054.53,,,,
2008-04-01,8.5,,30789.61,151694.91,429313.72,,,,
2008-05-01,7.7,,30169.3,153344.75,436221.6,,,,
2008-06-01,7.1,140477.8,30181.32,154820.15,443141.02,,,,
2008-07-01,6.3,,30687.19,154992.44,446362.17,,,,
2008-08-01,4.9,,30851.62,156889.92,448846.68,,,,
2008-09-01,4.6,217026.1,31724.88,155748.97,452898.71,,,,
2008-10-01,4.0,,31317.84,157194.36,453133.32,,,,
2008-11-01,2.4,,31607.36,157826.63,458644.66,,,,
2008-12-01,1.2,314045.4,34218.96,166217.13,475166.6,,,,
2009-01-01,1.0,,41082.37,165214.34,496135.31,,,,
2009-02-01,-1.6,,35141.64,166149.6,506708.07,,,,
2009-03-01,-1.2,69816.9,33746.42,176541.13,530626.71,,,,
2009-04-01,-1.5,,34257.27,178213.57,540481.21,,,,
2009-05-01,-1.4,,33559.52,182025.58,548263.51,,,,
2009-06-01,-1.7,148203.6,33640.98,193138.15,568916.2,,,,
2009-07-01,-1.8,,34239.3,195889.27,573102.85,,,,
2009-08-01,-1.2,,34406.62,200394.83,576698.95,,,,
2009-09-01,-0.8,231303.3,36787.89,201708.14,585405.34,,,,
2009-10-01,-0.5,,35730.23,207545.74,586643.29,,,,
2009-11-01,0.6,,36343.86,212493.2,594604.72,,,,
